Time (s),"Position [x,y]",Orientation (rads),State information
0.011,"[476.892, 593.239]",-0.486,
0.244,"[437.036, 634.039]",-1.062,
0.358,"[339.78, 656.229]",-1.631,
0.476,"[339.78, 656.229]",1.51,Collision with wall
0.586,"[432.295, 626.407]",2.255,
0.702,"[498.785, 601.89]",1.593,
0.823,"[605.316, 558.114]",2.328,
0.939,"[690.982, 536.32]",1.311,
1.063,"[813.249, 541.71]",1.742,
1.175,"[899.863, 483.877]",2.577,
1.295,"[947.559, 380.986]",2.838,
1.415,"[947.559, 380.986]",5.98,Collision with wall
1.541,"[895.327, 475.989]",5.581,
1.65,"[870.276, 550.885]",6.339,
1.763,"[888.946, 702.085]",6.473,
1.891,"[894.62, 737.974]",6.407,
2.004,"[926.625, 820.183]",6.902,
2.122,"[987.021, 855.388]",7.751,
2.245,"[1044.522, 868.742]",7.501,
2.372,"[1124.182, 857.067]",8.498,
2.486,"[1173.982, 839.099]",7.902,
2.604,"[1243.89, 808.206]",8.638,
2.728,"[1294.326, 700.734]",9.334,
2.854,"[1276.166, 640.992]",10.106,
2.967,"[1204.876, 587.654]",10.601,
3.087,"[1151.424, 546.911]",10.088,
3.209,"[1093.141, 461.851]",9.963,
3.339,"[1063.666, 362.283]",9.462,
3.452,"[1073.37, 314.31]",8.988,
3.572,"[1073.37, 314.31]",12.13,Collision with wall
3.699,"[1050.309, 377.437]",12.302,
3.821,"[1029.951, 439.665]",12.198,
3.951,"[953.736, 542.821]",11.662,
4.072,"[842.352, 615.124]",11.481,
4.193,"[738.661, 665.62]",11.417,
4.313,"[640.867, 699.594]",11.243,
4.43,"[476.001, 743.757]",11.271,
4.548,"[330.082, 767.018]",11.036,
4.667,"[330.082, 767.018]",14.177,Collision with wall
4.786,"[350.201, 767.593]",14.04,
4.906,"[450.404, 753.768]",14.509,
5.026,"[525.905, 702.778]",14.954,
5.153,"[556.342, 674.771]",14.809,
5.276,"[644.479, 602.365]",14.841,
5.396,"[760.663, 541.606]",14.397,
5.516,"[826.68, 494.234]",15.122,
5.635,"[908.431, 452.583]",14.094,
5.757,"[990.382, 495.533]",13.215,
5.879,"[1024.665, 538.699]",13.261,
5.999,"[1086.428, 649.686]",12.888,
